2021-10-13 16:15:37,231 DEBUG  ROS Time: 1634112937 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-10-13 16:15:39,236 DEBUG  ROS Time: 1634112939 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:41,238 DEBUG  ROS Time: 1634112941 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:43,243 DEBUG  ROS Time: 1634112943 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:45,248 DEBUG  ROS Time: 1634112945 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:47,255 DEBUG  ROS Time: 1634112947 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:49,259 DEBUG  ROS Time: 1634112949 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:51,265 DEBUG  ROS Time: 1634112951 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:53,273 DEBUG  ROS Time: 1634112953 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:55,277 DEBUG  ROS Time: 1634112955 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:57,284 DEBUG  ROS Time: 1634112957 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:15:59,292 DEBUG  ROS Time: 1634112959 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:01,296 DEBUG  ROS Time: 1634112961 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:03,298 DEBUG  ROS Time: 1634112963 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:05,302 DEBUG  ROS Time: 1634112965 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:07,304 DEBUG  ROS Time: 1634112967 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:09,310 DEBUG  ROS Time: 1634112969 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:11,316 DEBUG  ROS Time: 1634112971 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:13,325 DEBUG  ROS Time: 1634112973 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:15,329 DEBUG  ROS Time: 1634112975 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:17,335 DEBUG  ROS Time: 1634112977 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:19,342 DEBUG  ROS Time: 1634112979 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:21,347 DEBUG  ROS Time: 1634112981 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:23,351 DEBUG  ROS Time: 1634112983 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:25,357 DEBUG  ROS Time: 1634112985 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:27,360 DEBUG  ROS Time: 1634112987 | active tasks: 1 | terminated tasks: 0 | active robots: 1
2021-10-13 16:16:29,368 DEBUG  ROS Time: 1634112989 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:31,372 DEBUG  ROS Time: 1634112991 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:33,376 DEBUG  ROS Time: 1634112993 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:35,381 DEBUG  ROS Time: 1634112995 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:37,385 DEBUG  ROS Time: 1634112997 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:39,389 DEBUG  ROS Time: 1634112999 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:41,393 DEBUG  ROS Time: 1634113001 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:43,396 DEBUG  ROS Time: 1634113003 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:45,401 DEBUG  ROS Time: 1634113005 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:47,405 DEBUG  ROS Time: 1634113007 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:49,409 DEBUG  ROS Time: 1634113009 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:51,414 DEBUG  ROS Time: 1634113011 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:53,420 DEBUG  ROS Time: 1634113013 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:55,425 DEBUG  ROS Time: 1634113015 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:57,430 DEBUG  ROS Time: 1634113017 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:16:59,434 DEBUG  ROS Time: 1634113019 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:01,439 DEBUG  ROS Time: 1634113021 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:03,446 DEBUG  ROS Time: 1634113023 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:05,450 DEBUG  ROS Time: 1634113025 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:07,456 DEBUG  ROS Time: 1634113027 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:09,461 DEBUG  ROS Time: 1634113029 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:11,465 DEBUG  ROS Time: 1634113031 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:13,470 DEBUG  ROS Time: 1634113033 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:15,477 DEBUG  ROS Time: 1634113035 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:17,483 DEBUG  ROS Time: 1634113037 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:19,490 DEBUG  ROS Time: 1634113039 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:21,497 DEBUG  ROS Time: 1634113041 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:23,502 DEBUG  ROS Time: 1634113043 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:25,506 DEBUG  ROS Time: 1634113045 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:27,510 DEBUG  ROS Time: 1634113047 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:29,512 DEBUG  ROS Time: 1634113049 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:31,520 DEBUG  ROS Time: 1634113051 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:33,526 DEBUG  ROS Time: 1634113053 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:35,529 DEBUG  ROS Time: 1634113055 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:37,534 DEBUG  ROS Time: 1634113057 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:39,539 DEBUG  ROS Time: 1634113059 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:41,543 DEBUG  ROS Time: 1634113061 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:43,547 DEBUG  ROS Time: 1634113063 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:45,549 DEBUG  ROS Time: 1634113065 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:47,553 DEBUG  ROS Time: 1634113067 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:49,557 DEBUG  ROS Time: 1634113069 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:51,561 DEBUG  ROS Time: 1634113071 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:53,567 DEBUG  ROS Time: 1634113073 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:55,574 DEBUG  ROS Time: 1634113075 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:57,579 DEBUG  ROS Time: 1634113077 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:17:59,582 DEBUG  ROS Time: 1634113079 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:01,588 DEBUG  ROS Time: 1634113081 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:03,594 DEBUG  ROS Time: 1634113083 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:05,598 DEBUG  ROS Time: 1634113085 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:07,606 DEBUG  ROS Time: 1634113087 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:09,612 DEBUG  ROS Time: 1634113089 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:11,620 DEBUG  ROS Time: 1634113091 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:13,628 DEBUG  ROS Time: 1634113093 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:15,633 DEBUG  ROS Time: 1634113095 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:17,638 DEBUG  ROS Time: 1634113097 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:19,647 DEBUG  ROS Time: 1634113099 | active tasks: 0 | terminated tasks: 1 | active robots: 1
2021-10-13 16:18:21,654 DEBUG  ROS Time: 1634113101 | active tasks: 0 | terminated tasks: 1 | active robots: 1
